"explorer.exe","10592","Console","1","397,136 K"
"svchost.exe","10772","Services","0","10,952 K"
"ctfmon.exe","11588","Console","1","55,644 K"
"svchost.exe","12328","Services","0","31,428 K"
"svchost.exe","12468","Services","0","14,764 K"
"SearchIndexer.exe","12684","Services","0","60,308 K"
"svchost.exe","12896","Console","1","24,020 K"
"svchost.exe","13360","Services","0","24,928 K"
"svchost.exe","7468","Console","1","39,220 K"
"gamingservices.exe","13464","Services","0","37,644 K"
"gamingservicesnet.exe","13460","Services","0","6,524 K"
"SearchHost.exe","13008","Console","1","217,876 K"
"StartMenuExperienceHost.exe","11516","Console","1","124,712 K"
"svchost.exe","13648","Console","1","21,868 K"
"RuntimeBroker.exe","13780","Console","1","61,452 K"
"RuntimeBroker.exe","11900","Console","1","50,656 K"
"TextInputHost.exe","6988","Console","1","137,148 K"
"Dell.TechHub.DataManager.SubAgent.exe","10036","Services","0","88,968 K"
"Dell.CoreServices.Client.exe","5432","Services","0","55,392 K"
"conhost.exe","11256","Services","0","9,256 K"
"Dell.TechHub.Instrumentation.SubAgent.exe","2920","Services","0","148,404 K"
"Dell.TechHub.Analytics.SubAgent.exe","10932","Services","0","76,512 K"
"conhost.exe","15224","Services","0","9,520 K"
"Dell.TechHub.Diagnostics.SubAgent.exe","7800","Services","0","57,192 K"
"conhost.exe","5232","Services","0","9,240 K"
"Dell.DCF.UA.Bradbury.API.SubAgent.exe","10504","Services","0","51,508 K"
"conhost.exe","9096","Services","0","9,252 K"
"conhost.exe","3076","Services","0","9,252 K"
"taskhostw.exe","12924","Console","1","21,372 K"
"aesm_service.exe","16448","Services","0","17,952 K"
"svchost.exe","16508","Services","0","25,220 K"
"DDVRulesProcessor.exe","17152","Services","0","17,300 K"
"ServiceShell.exe","17376","Services","0","69,168 K"
"SecurityHealthService.exe","14116","Services","0","20,840 K"
"SupportAssistAgent.exe","16744","Services","0","145,048 K"
"svchost.exe","14076","Services","0","13,556 K"
"svchost.exe","16896","Services","0","14,908 K"
"DDVDataCollector.exe","7772","Services","0","74,324 K"
"DDVCollectorSvcApi.exe","3784","Services","0","10,532 K"
"OneDrive.exe","3624","Console","1","447,392 K"
"svchost.exe","17072","Console","1","20,848 K"
"svchost.exe","15572","Console","1","13,748 K"
"svchost.exe","10524","Services","0","6,608 K"
"WmiApSrv.exe","18140","Services","0","10,472 K"
"svchost.exe","22908","Services","0","7,088 K"
"AdobeNotificationClient.exe","2568","Console","1","3,052 K"
"RuntimeBroker.exe","21848","Console","1","9,200 K"
"NVDisplay.Container.exe","22344","Console","1","43,812 K"
"nvWmi64.exe","20412","Console","1","15,564 K"
"uihost.exe","1792","Console","1","33,076 K"
"FileCoAuth.exe","22120","Console","1","38,496 K"
"SpotifyWidgetProvider.exe","17944","Console","1","39,024 K"
"WidgetService.exe","17024","Console","1","25,780 K"
"Dell.TechHub.Instrumentation.UserProcess.exe","10656","Console","1","72,340 K"
"rsAppUI.exe","5568","Console","1","84,120 K"
"rsAppUI.exe","20032","Console","1","95,124 K"
"rsAppUI.exe","2620","Console","1","45,852 K"
"rsAppUI.exe","9444","Console","1","75,320 K"
"rsHelper.exe","4536","Console","1","26,200 K"
"rsAppUI.exe","720","Console","1","70,992 K"
"Widgets.exe","18480","Console","1","68,220 K"
"msedgewebview2.exe","18148","Console","1","11,596 K"
"msedgewebview2.exe","19832","Console","1","8,476 K"
"msedgewebview2.exe","18980","Console","1","5,684 K"
"msedgewebview2.exe","1456","Console","1","2,256 K"
"msedgewebview2.exe","2884","Console","1","1,740 K"
"msedgewebview2.exe","18680","Console","1","2,604 K"
"dllhost.exe","15932","Console","1","10,888 K"
"ApplicationFrameHost.exe","21752","Console","1","55,412 K"
"dllhost.exe","19392","Console","1","14,848 K"
"svchost.exe","23040","Services","0","9,448 K"
"UserOOBEBroker.exe","24472","Console","1","10,020 K"
"dllhost.exe","2148","Console","1","12,576 K"
"ShellExperienceHost.exe","12740","Console","1","98,496 K"
"RuntimeBroker.exe","5392","Console","1","27,828 K"
"SystemSettings.exe","7328","Console","1","2,828 K"
"clion64.exe","21136","Console","1","4,939,316 K"
"fsnotifier.exe","23284","Console","1","3,192 K"
"conhost.exe","18008","Console","1","6,284 K"
"copilot-language-server.exe","18892","Console","1","206,052 K"
"conhost.exe","19936","Console","1","6,436 K"
"clangd.exe","10484","Console","1","194,124 K"
"conhost.exe","24184","Console","1","6,248 K"
"svchost.exe","19896","Services","0","6,836 K"
"msedgewebview2.exe","23380","Console","1","3,056 K"
"chrome.exe","21124","Console","1","262,228 K"
"chrome.exe","11720","Console","1","8,632 K"
"chrome.exe","18428","Console","1","131,052 K"
"chrome.exe","24172","Console","1","53,940 K"
"chrome.exe","3888","Console","1","21,340 K"
"chrome.exe","19220","Console","1","59,744 K"
"chrome.exe","24304","Console","1","44,744 K"
"chrome.exe","24252","Console","1","100,068 K"
"cmd.exe","10572","Console","1","4,472 K"
"conhost.exe","19112","Console","1","8,804 K"
"browserhost.exe","21180","Console","1","15,868 K"
"chrome.exe","19224","Console","1","106,204 K"
"chrome.exe","11508","Console","1","49,820 K"
"msedge.exe","16484","Console","1","176,108 K"
"msedge.exe","21116","Console","1","8,588 K"
"msedge.exe","20540","Console","1","73,272 K"
"msedge.exe","13808","Console","1","43,220 K"
"msedge.exe","9624","Console","1","18,500 K"
"pwahelper.exe","9660","Console","1","13,840 K"
"msedge.exe","10196","Console","1","9,788 K"
"msedge.exe","11876","Console","1","6,952 K"
"msedge.exe","12860","Console","1","21,272 K"
"msedge.exe","15256","Console","1","45,220 K"
"msedge.exe","12436","Console","1","27,276 K"
"RuntimeBroker.exe","8240","Console","1","26,044 K"
"msedge.exe","20016","Console","1","25,308 K"
"ShellHost.exe","20680","Console","1","44,236 K"
"clion64.exe","8776","Console","1","42,492 K"
"clion64.exe","16468","Console","1","16,168 K"
"clion64.exe","8480","Console","1","22,920 K"
"Microsoft.SharePoint.exe","13220","Console","1","5,820 K"
"chrome.exe","10124","Console","1","193,688 K"
"XboxPcAppFT.exe","11540","Console","1","22,408 K"
"svchost.exe","1168","Services","0","15,064 K"
"MoNotificationUx.exe","13024","Console","1","13,740 K"
"svchost.exe","12548","Services","0","24,004 K"
"PhoneExperienceHost.exe","22316","Console","1","183,744 K"
"RuntimeBroker.exe","14100","Console","1","21,632 K"
"svchost.exe","25272","Services","0","9,032 K"
"WhatsApp.exe","14312","Console","1","382,876 K"
"RuntimeBroker.exe","8448","Console","1","60,224 K"
"svchost.exe","11576","Services","0","48,716 K"
"chrome.exe","7836","Console","1","30,824 K"
"svchost.exe","19172","Services","0","11,464 K"
"audiodg.exe","10620","Services","0","23,392 K"
"SearchProtocolHost.exe","5016","Services","0","18,876 K"
"SearchFilterHost.exe","2752","Services","0","11,212 K"
"WmiPrvSE.exe","20088","Services","0","15,320 K"
"chrome.exe","11964","Console","1","38,968 K"
"winpty-agent.exe","16496","Console","1","7,672 K"
"conhost.exe","13936","Console","1","13,416 K"
"A2_S19_20231143_SheetPb5.exe","1892","Console","1","4,808 K"
"cmd.exe","20124","Console","1","4,596 K"
"tasklist.exe","14840","Console","1","10,508 K"
